"State,move",QValue
"('---OXXO-X', 7)",0.6342112750626
"('---OXXOOX', 1)",0.0
"('---OXXOOX', 2)",0.9802267325699999
"('---OXXOX-', 1)",0.0
"('---OXXOX-', 2)",0.643827336246
"('---OXXOX-', 8)",0.6511723650000001
"('---OXXOXO', 1)",0.94235199
"('---OXXOXO', 2)",0.0
"('---OXXX-O', 1)",0.614415456
"('---OXXX-O', 2)",0.0
"('---OXXX-O', 7)",0.5425741746
"('---OXXXO-', 1)",0.61964893971
"('---OXXXO-', 2)",0.0
"('---OXXXO-', 8)",0.6483134943000001
"('---OXXXOO', 1)",0.0
"('---OXXXOO', 2)",0.94235199
"('---X-----', 1)",0.0
"('---X-----', 2)",0.0
"('---X-----', 4)",0.0
"('---X-----', 5)",0.0
"('---X-----', 6)",0.0
"('---X-----', 7)",0.0
"('---X-----', 8)",0.0
"('---X----O', 1)",0.0
"('---X----O', 2)",0.0
"('---X----O', 4)",0.0
"('---X----O', 5)",0.0
"('---X----O', 6)",0.0
"('---X----O', 7)",0.0
"('---X---O-', 1)",0.0
"('---X---O-', 2)",0.0
"('---X---O-', 4)",0.0
"('---X---O-', 5)",0.0
"('---X---O-', 6)",0.0
"('---X---O-', 8)",0.0
"('---X---OX', 1)",0.0
"('---X---OX', 2)",0.0
"('---X---OX', 4)",0.0
"('---X---OX', 5)",0.0
"('---X---OX', 6)",0.0
"('---X---XO', 1)",0.0
"('---X---XO', 2)",0.0
"('---X---XO', 4)",0.0
"('---X---XO', 5)",0.0
"('---X---XO', 6)",0.0
"('---X--O--', 1)",0.0
"('---X--O--', 2)",0.0
"('---X--O--', 4)",0.0
"('---X--O--', 5)",0.0
"('---X--O--', 7)",0.0
"('---X--O--', 8)",0.0
"('---X--O-X', 1)",0.0
"('---X--O-X', 2)",0.0
"('---X--O-X', 4)",0.0
"('---X--O-X', 5)",0.0
"('---X--O-X', 7)",0.0
"('---X--OOX', 1)",0.0
"('---X--OOX', 2)",0.0
"('---X--OOX', 4)",0.0
"('---X--OOX', 5)",0.0
"('---X--OX-', 1)",0.0
"('---X--OX-', 2)",0.0
"('---X--OX-', 4)",0.0
"('---X--OX-', 5)",0.0
"('---X--OX-', 8)",0.0
"('---X--OXO', 1)",0.0
"('---X--OXO', 2)",0.0
"('---X--OXO', 4)",0.0
